id,date,business_line,product_line,region,loan_type,employee_cost,direct_marketing_campaign_cost,indirect_marketing_cost,sales_commissions_cost
0,2017-03-31,Personal Banking,Loans,Denmark,Mortgages,-8588679.917873329,-8156263.507615285,-5437509.005076856,-10195329.384519108
1,2017-06-30,Personal Banking,Loans,Denmark,Mortgages,-17177359.835746657,-16312527.01523057,-10875018.010153713,-20390658.769038215
2,2017-09-30,Personal Banking,Loans,Denmark,Mortgages,-25766039.753619984,-24468790.522845857,-16312527.01523057,-30585988.153557323
3,2017-12-31,Personal Banking,Loans,Denmark,Mortgages,-34354719.671493314,-32625054.03046114,-21750036.020307425,-40781317.53807643
4,2018-03-31,Personal Banking,Loans,Denmark,Mortgages,-8016457.781377406,-6926631.590523611,-4617754.393682407,-8658289.488154512
5,2018-06-30,Personal Banking,Loans,Denmark,Mortgages,-16032915.562754812,-13853263.181047222,-9235508.787364814,-17316578.976309024
6,2018-09-30,Personal Banking,Loans,Denmark,Mortgages,-24049373.34413222,-20779894.77157083,-13853263.181047222,-25974868.464463536
7,2018-12-31,Personal Banking,Loans,Denmark,Mortgages,-32065831.125509623,-27706526.362094443,-18471017.57472963,-34633157.95261805
8,2019-03-31,Personal Banking,Loans,Denmark,Mortgages,-8067262.550505549,-7249520.547169987,-4833013.698113325,-9061900.683962483
9,2019-06-30,Personal Banking,Loans,Denmark,Mortgages,-16134525.101011097,-14499041.094339974,-9666027.39622665,-18123801.367924966
10,2019-09-30,Personal Banking,Loans,Denmark,Mortgages,-24201787.651516646,-21748561.64150996,-14499041.094339974,-27185702.05188745
11,2019-12-31,Personal Banking,Loans,Denmark,Mortgages,-32269050.202022195,-28998082.18867995,-19332054.7924533,-36247602.73584993
12,2020-03-31,Personal Banking,Loans,Denmark,Mortgages,-7358669.717928828,-5688153.400647104,-3792102.267098069,-7110191.75080888
13,2020-06-30,Personal Banking,Loans,Denmark,Mortgages,-14717339.435857655,-11376306.801294208,-7584204.534196138,-14220383.50161776
14,2020-09-30,Personal Banking,Loans,Denmark,Mortgages,-22076009.153786484,-17064460.20194131,-11376306.801294208,-21330575.25242664
15,2020-12-31,Personal Banking,Loans,Denmark,Mortgages,-29434678.87171531,-22752613.602588415,-15168409.068392277,-28440767.00323552
16,2017-03-31,Personal Banking,Loans,Finland,Mortgages,-5330904.776611031,-5062508.384037074,-3375005.589358049,-6328135.480046343
17,2017-06-30,Personal Banking,Loans,Finland,Mortgages,-10661809.553222062,-10125016.768074147,-6750011.178716098,-12656270.960092686
18,2017-09-30,Personal Banking,Loans,Finland,Mortgages,-15992714.329833094,-15187525.152111221,-10125016.768074147,-18984406.44013903
19,2017-12-31,Personal Banking,Loans,Finland,Mortgages,-21323619.106444124,-20250033.536148295,-13500022.357432196,-25312541.920185372
20,2018-03-31,Personal Banking,Loans,Finland,Mortgages,-4975732.416027356,-4299288.573428448,-2866192.382285632,-5374110.716785559
21,2018-06-30,Personal Banking,Loans,Finland,Mortgages,-9951464.832054712,-8598577.146856897,-5732384.764571264,-10748221.433571119
22,2018-09-30,Personal Banking,Loans,Finland,Mortgages,-14927197.248082068,-12897865.720285345,-8598577.146856897,-16122332.150356678
23,2018-12-31,Personal Banking,Loans,Finland,Mortgages,-19902929.664109424,-17197154.293713793,-11464769.529142529,-21496442.867142238
