field_name, field_type, label, categorical, business_key, format_code
id, STRING, id, false, true
date, STRING, date, false, true
business_line, STRING, business_line, false, true
product_line, STRING, product_line, false, true
region, STRING, region, false, true
loan_type, STRING, loan_type, false, true
net_interest_income, FLOAT, net_interest_income, false, false
net_fee_commissions_income, FLOAT, net_interest_income, false, false
staff_cost, FLOAT, net_interest_income, false, false
other_expenses, FLOAT, net_interest_income, false, false
total_operating_income, FLOAT, net_interest_income, false, false
total_operating_expenses, FLOAT, net_interest_income, false, false
profit_before_loan_losses, FLOAT, net_interest_income, false, false
